label,reference_latitude_deg,reference_longitude_deg,erde_latitude_deg,erde_atlas_longitude_deg,status
Bering Strait reference,65,-169,23.552763,8.632438,approximate reference locator; not a surveyed canonical site
Dakar reference,14.7,-17.4,-40.898445,-70.383927,approximate reference locator; not a surveyed canonical site
Tangier reference,35.8,-5.8,-41.134168,-39.044258,approximate reference locator; not a surveyed canonical site
Cairo reference,30,31.2,-59.978242,2.077398,approximate reference locator; not a surveyed canonical site
Cape Town reference,-33.9,18.4,-54.395938,-163.340949,approximate reference locator; not a surveyed canonical site
Sunda reference,0,110,-10.0,90.0,approximate reference locator; not a surveyed canonical site
Sahul locator,-22,145,23.069339,114.027008,approximate reference locator; not a surveyed canonical site
Flores-like locator,-8,120,0.0,98.0,approximate reference locator; not a surveyed canonical site
Luzon-like locator,18,122,1.902076,71.989737,approximate reference locator; not a surveyed canonical site
Papuan-highland locator,-6,143,22.866835,96.513884,approximate reference locator; not a surveyed canonical site
Boreal Rim successor locator,55,-133,33.265118,-11.569777,approximate reference locator; not a surveyed canonical site
Great Watersheds locator,38,-94,26.145362,-46.698531,approximate reference locator; not a surveyed canonical site
Volcanic Hinge locator,13,-84,23.347826,-75.817351,approximate reference locator; not a surveyed canonical site
Highland Spine locator,-22,-73,12.038621,-112.521525,approximate reference locator; not a surveyed canonical site
Equatorial Basin locator,-6,-58,-1.989039,-96.003631,approximate reference locator; not a surveyed canonical site
