lemma	pos	meaning	domain	parts	notes
kam	N	continuous bedrock; rock in place	material		Does not identify mineral composition.
rak	N	natural rock material or an unworked rock piece	material		Count use denotes a piece; mass use denotes material.
men	N	stone selected as material for shaping	material		Workability is an intended use, not a guarantee of strength.
hamar	N	crag; large exposed rock mass; inherited hammer sense	land		Use handhamar for an unambiguous hand tool.
kor	N	person	social		Applies to persons beyond native dwarf ancestry.
kel	N	sheltered interior; chamber	settlement		Does not entail great depth.
stal	N	supporting frame or load-bearing arrangement	industry		
klak	N	fitted stone piece; the close joint it forms	industry		Piece and joint senses are conventionally related.
var	N	speech; an utterance	language		
drav	N	water flow considered as current or supply	water		
ner	N	dependent young individual	care		Does not fix exact age or developmental anatomy.
lut	N	usable warmth	thermal		
sel	N	nourishment; food provision	food		
grem	N	sustained physical effort against resistance	body		
menkor	N	member of a reserved narrower native people; exact regional, cultural or species assignment open	identity	men+kor	Retained by user preference for a narrower identity; Hamarkor is the general ethnonym. Not an occupational term.
kelir	N	interior-dweller	identity	kel+-ir	Lexicalized habitat participant.
menir	N	stoneworker	industry	men+-ir	Occupation, not an ethnonym.
kelkor	N	member or resident of a chamber-household	social	kel+kor	
korvar	N	public/common speech; Common Dwarven	language	kor+var	Capitalized when naming the standard.
menkorvar	N	reserved name for a possible Menkor community language	language	menkor+var	No separate community language or location established by reserving this name; Hamarkorvar names the whole family.
karnir	N	builder	industry	karn+-ir	
menek	N	dressed stone piece	material	men+-ek	
menet	N	stoneworking workshop	industry	men+-et	
menad	N	stoneworking as an activity or craft	industry	men+-ad	
karnad	N	building activity	industry	karn+-ad	
nerkel	N	nursery chamber	care	ner+kel	
menkel	N	chamber made or lined with worked stone	settlement	men+kel	Does not imply a naturally self-supporting cavern.
dravkel	N	water chamber; cistern	water	drav+kel	
lutkel	N	warming chamber	thermal	lut+kel	
handhamar	N	hand hammer	industry	hand+hamar	Default precise tool word.
dravhamar	N	water-powered hammer	industry	drav+hamar	Names power source; mechanism may vary.
rakhamar	N	hammer for breaking rock	industry	rak+hamar	Purpose compound.
menhamar	N	stone-dressing hammer	industry	men+hamar	Purpose compound.
kamhamar	N	bedrock-cutting percussion mechanism	industry	kam+hamar	May be powered; not automatically handheld.
hamarkel	N	chamber within a crag	settlement	hamar+kel	
kamkel	N	chamber excavated in bedrock	settlement	kam+kel	
rakstal	N	retained-rock support structure	industry	rak+stal	Actual stability requires site assessment.
klakmen	N	stone selected for closely fitted masonry	industry	klak+men	
dur	ADJ	dark in visible color	property		
bel	ADJ	pale or light in visible color	property		
rod	ADJ	red or rusty-red in color	property		
gral	ADJ	gray in color	property		
blav	ADJ	blue in color	property		
grön	ADJ	green in color	property		
fin	ADJ	fine-grained; individual grains not readily resolved by eye	property		A field descriptor, not a universal size threshold.
gröl	ADJ	coarse-grained; grains readily individually visible	property		
darn	ADJ	resistant to scratching by the stated comparator	property		Hardness differs from toughness and bulk strength.
möl	ADJ	readily scratched or indented by the stated comparator	property		
treg	ADJ	resisting crack propagation under the stated impact	property		Field toughness descriptor; test conditions matter.
spröd	ADJ	readily fractured into pieces under impact	property		
glad	ADJ	smooth-surfaced	property		
skarf	ADJ	sharp-edged	property		
rög	ADJ	rough-surfaced	property		
vaat	ADJ	wet	property		
tör	ADJ	dry at observation	property		
tett	ADJ	closely packed; apparently dense	property		Does not prove impermeability.
hol	ADJ	hollow	property		
por	N	pore; small void	material		
gren	N	grain within a material	material		
kris	N	crystal; visibly ordered crystal body	material		
lag	N	layer or bed	material		
band	N	band distinguished by texture or composition	material		
flak	N	thin plate or flake	material		
splet	N	fracture or split	material		
riss	N	narrow crack	material		
rund	ADJ	rounded	property		
kant	ADJ	angular in outline	property		
glim	ADJ	reflective; sparkling on the observed face	property		Shine alone does not identify a metal.
glas	N	glass; noncrystalline glassy material	material		
sal	N	soluble mineral salt; salt deposit	material		Not all salts are edible.
gisp	N	soft sulfate stone of the identified gypsum family	material		Specialist identification, not any white soft rock.
kalm	N	identified carbonate-rich mineral material	material		May include different carbonate minerals.
kvir	N	identified quartz-family silica crystal material	material		Specialist mineral category.
jern	N	iron as a metal	industry		Not any red mineral or magnetic grain.
kubr	N	copper as a metal	industry		
tin	N	tin as a metal	industry		
bly	N	lead as a metal	industry		A material term, not a biological safety judgment.
sulv	N	identified sulfur-bearing mineral matter	material		Does not alone distinguish sulfide from sulfate.
mal	N	mineral-bearing material worth processing under stated conditions	industry		Economic ore category; not a fixed mineral species.
kol	N	carbon-rich combustible material	fuel		Does not assert Earth-style coal deposits.
dul	N	loose mineral earth; unconsolidated ground material	material		
sarn	N	sand-sized loose grains	material		Shared technical register may attach explicit size limits.
silm	N	silt-sized loose mineral grains	material		
lem	N	clay-rich fine earth with stated plastic behavior	material		Field category; not every clay swells.
grust	N	gravel; loose small stones	material		
skel	N	shell; enclosing shell-like layer	care		Use qualified terms to distinguish egg and nursery casing.
esk	N	ash-sized particulate deposit	material		Context distinguishes volcanic and combustion ash.
jörm	N	biologically active soil used by rooted producers	food		Does not assert terrestrial soil organisms.
slik	N	wet deposited sediment; mud slurry	material		
brak	N	broken rock debris; rubble	material		
veir	N	mineral-filled fracture or vein	material		
eld	N	flame; combustion fire	thermal		
smelt	N	melted material	material		
trykk	N	pressure or imposed compressive loading	industry		Must state quantity, unit and context.
last	N	mechanical load	industry		
vörk	N	mass measurement in the standard register	measure		Distinct from gravitational force, which is a kind of last.
rom	N	volume; occupied three-dimensional space	measure		
mer	ADV	more; comparative marker	grammar		Homonym with length-unit noun is explicitly registered.
mest	ADV	most; superlative marker	grammar		
mer	N	conventional unit of length	measure		Calibration must be supplied; not an Earth meter by assertion.
kap	N	standardized vessel unit of capacity	measure		Calibration must be supplied.
vek	N	conventional unit of mass	measure		
tik	N	short counted time unit	measure		Defined by an agreed clock; no Earth second asserted.
takt	N	scheduled work/rest time cycle	time		Not a sunrise-to-sunrise cycle.
tid	N	time; duration	time		
sek	N	ordered sequence; numbered series	language		
tal	PART	reported; evidence marker	language		Does not certify truth.
vis	PART	observed; evidence marker	language		Claimed observation only.
ren	PART	inferred; evidence marker	language		Inference can be wrong.
vas	N	water	water		Potability is a separate determination.
is	N	ice	water		
sjö	N	lake	land		
bek	N	small river or stream channel	land		
dal	N	valley	land		
