common	pos	meaning	massif	ridge	basin	night	warm
kam	N	continuous bedrock; rock in place	kam	kam	kam	kam	kam
rak	N	natural rock material or an unworked rock piece	rak	rak	rak	rak	rak
men	N	stone selected as material for shaping	men	men	men	men	men
hamar	N	crag; large exposed rock mass; inherited hammer sense	hamar	hamar	hamar	hamar	amar
kor	N	person	kor	kor	kor	kor	kor
kel	N	sheltered interior; chamber	kel	kel	kel	kel	kel
stal	N	supporting frame or load-bearing arrangement	stal	stal	stal	stal	stal
klak	N	fitted stone piece; the close joint it forms	klak	klak	klak	klak	klak
var	N	speech; an utterance	var	var	var	far	var
drav	N	water flow considered as current or supply	drav	drav	drav	drav	drav
ner	N	dependent young individual	ner	ner	ner	ner	ner
lut	N	usable warmth	lut	lut	lut	lut	lut
sel	N	nourishment; food provision	sel	sel	sel	sel	sel
grem	N	sustained physical effort against resistance	grem	grem	grem	grem	grem
menkor	N	member of a reserved narrower native people; exact regional, cultural or species assignment open	menkor	menkor	menkor	menkor	menkor
kelir	N	interior-dweller	kelir	kelir	kelir	kelir	kelir
menir	N	stoneworker	menir	menir	menir	menir	menir
kelkor	N	member or resident of a chamber-household	kelkor	kelkor	kelkor	kelkor	kelkor
korvar	N	public/common speech; Common Dwarven	korvar	korvar	korvar	korvar	korvar
menkorvar	N	reserved name for a possible Menkor community language	menkorvar	menkorvar	menkorvar	menkorvar	menkorvar
karnir	N	builder	karnir	karnir	karnir	karnir	karnir
menek	N	dressed stone piece	menek	menek	menek	menek	menek
menet	N	stoneworking workshop	menet	menet	menet	menet	menet
menad	N	stoneworking as an activity or craft	menad	menad	menad	menat	menad
karnad	N	building activity	karnad	karnad	karnad	karnat	karnad
nerkel	N	nursery chamber	nerkel	nerkel	nerkel	nerkel	nerkel
menkel	N	chamber made or lined with worked stone	menkel	menkel	menkel	menkel	menkel
dravkel	N	water chamber; cistern	dravkel	dravkel	dravkel	dravkel	dravkel
lutkel	N	warming chamber	lutkel	lutkel	lutkel	lutkel	lutkel
handhamar	N	hand hammer	handhamar	handhamar	handhamar	handhamar	andhamar
dravhamar	N	water-powered hammer	dravhamar	dravhamar	dravhamar	dravhamar	dravhamar
rakhamar	N	hammer for breaking rock	rakhamar	rakhamar	rakhamar	rakhamar	rakhamar
menhamar	N	stone-dressing hammer	menhamar	menhamar	menhamar	menhamar	menhamar
kamhamar	N	bedrock-cutting percussion mechanism	kamhamar	kamhamar	kamhamar	kamhamar	kamhamar
hamarkel	N	chamber within a crag	hamarkel	hamarkel	hamarkel	hamarkel	amarkel
kamkel	N	chamber excavated in bedrock	kamkel	kamkel	kamkel	kamkel	kamkel
rakstal	N	retained-rock support structure	rakstal	rakstal	rakstal	rakstal	rakstal
klakmen	N	stone selected for closely fitted masonry	klakmen	klakmen	klakmen	klakmen	klakmen
dur	ADJ	dark in visible color	dur	dur	dur	dur	dur
bel	ADJ	pale or light in visible color	bel	bel	bel	bel	bel
rod	ADJ	red or rusty-red in color	rod	rod	rod	rot	rod
gral	ADJ	gray in color	gral	gral	gral	gral	gral
blav	ADJ	blue in color	blav	blav	blav	blav	blav
grön	ADJ	green in color	grön	gren	grön	gron	gren
fin	ADJ	fine-grained; individual grains not readily resolved by eye	fin	fin	fin	fin	fin
gröl	ADJ	coarse-grained; grains readily individually visible	gröl	grel	gröl	grol	grel
darn	ADJ	resistant to scratching by the stated comparator	darn	darn	darn	darn	darn
möl	ADJ	readily scratched or indented by the stated comparator	möl	mel	möl	mol	mel
treg	ADJ	resisting crack propagation under the stated impact	treg	treg	treg	trek	treg
spröd	ADJ	readily fractured into pieces under impact	spröd	spred	spröd	sprot	spred
glad	ADJ	smooth-surfaced	glad	glad	glad	glat	glad
skarf	ADJ	sharp-edged	skarf	skarf	skarf	skarf	skarf
rög	ADJ	rough-surfaced	rög	reg	rög	rok	reg
vaat	ADJ	wet	vaat	vaat	vaat	faat	vaat
tör	ADJ	dry at observation	tör	ter	tör	tor	ter
tett	ADJ	closely packed; apparently dense	tett	tett	tett	tett	tett
hol	ADJ	hollow	hol	hol	hol	hol	ol
por	N	pore; small void	por	por	por	por	por
gren	N	grain within a material	gren	gren	gren	gren	gren
kris	N	crystal; visibly ordered crystal body	kris	kris	kris	kris	kris
lag	N	layer or bed	lag	lag	lag	lak	lag
band	N	band distinguished by texture or composition	band	band	band	bant	band
flak	N	thin plate or flake	flak	flak	flak	flak	flak
splet	N	fracture or split	splet	splet	splet	splet	splet
riss	N	narrow crack	riss	riss	riss	riss	riss
rund	ADJ	rounded	rund	rund	rund	runt	rund
kant	ADJ	angular in outline	kant	kant	kant	kant	kant
glim	ADJ	reflective; sparkling on the observed face	glim	glim	glim	glim	glim
glas	N	glass; noncrystalline glassy material	glas	glas	glas	glas	glas
sal	N	soluble mineral salt; salt deposit	sal	sal	sal	sal	sal
gisp	N	soft sulfate stone of the identified gypsum family	gisp	gisp	gisp	gisp	gisp
kalm	N	identified carbonate-rich mineral material	kalm	kalm	kalm	kalm	kalm
kvir	N	identified quartz-family silica crystal material	kvir	kvir	kvir	kvir	kvir
jern	N	iron as a metal	jern	jern	jern	jern	jern
kubr	N	copper as a metal	kubr	kubr	kubr	kubr	kubr
tin	N	tin as a metal	tin	tin	tin	tin	tin
bly	N	lead as a metal	bly	bli	bly	blu	bli
sulv	N	identified sulfur-bearing mineral matter	sulv	sulv	sulv	sulv	sulv
mal	N	mineral-bearing material worth processing under stated conditions	mal	mal	mal	mal	mal
kol	N	carbon-rich combustible material	kol	kol	kol	kol	kol
dul	N	loose mineral earth; unconsolidated ground material	dul	dul	dul	dul	dul
sarn	N	sand-sized loose grains	sarn	sarn	sarn	sarn	sarn
silm	N	silt-sized loose mineral grains	silm	silm	silm	silm	silm
lem	N	clay-rich fine earth with stated plastic behavior	lem	lem	lem	lem	lem
grust	N	gravel; loose small stones	grust	grust	grust	grust	grust
skel	N	shell; enclosing shell-like layer	skel	shel	skel	skel	skel
esk	N	ash-sized particulate deposit	esk	esk	esk	esk	esk
